,title_class,body_class
0,-0.2247,0.9609
1,0.0,0.0
2,-0.0018,0.9955
3,-0.7845,-0.9769
4,-0.34,0.9845
5,0.5574,0.9504
6,-0.4497,0.6524
7,0.5709,-0.6712
8,0.8641,0.9895
9,0.4019,0.9901
10,0.5994,0.9663
11,-0.5106,0.7099
12,-0.5574,-0.5574
13,0.0,0.9432
14,0.6369,0.9856
15,0.25,0.34
16,-0.8316,0.9777
17,-0.3182,-0.1531
18,0.7506,0.9939
19,0.765,0.9771
20,0.4939,0.9943
21,-0.2263,0.9839
22,-0.25,0.9884
23,0.0,0.9412
24,0.296,0.0
25,0.0,0.9931
26,0.9509,0.9983
27,0.3612,0.9933
28,0.8481,0.9756
29,0.5423,0.997
30,0.6705,0.5859
31,-0.128,0.9602
32,-0.8151,0.9727
33,0.128,0.9161
34,0.2263,0.8858
35,-0.7003,0.6887
36,0.7351,0.5267
37,-0.34,0.7003
38,0.3612,0.8779
39,0.2023,0.9981
40,0.0,0.9928
41,-0.4215,0.4215
42,-0.0644,-0.5584
43,-0.1513,0.9802
44,0.2732,0.9194
45,0.836,0.9738
46,0.7906,0.9628
47,0.5106,0.9898
48,0.4939,0.9943
49,-0.296,0.0
50,0.0,0.8167
51,0.5423,0.9918
52,-0.5423,-0.9701
53,0.4767,0.9914
54,0.1531,0.9839
55,0.8979,0.9831
56,0.6369,0.9792
57,-0.7003,0.8076
58,0.6705,0.0
59,-0.296,0.0516
60,-0.4333,0.966
61,-0.128,0.9602
62,-0.2732,-0.5994
63,0.3262,0.9801
64,0.4215,0.9867
65,-0.793,-0.9125
66,0.34,0.5719
67,0.7553,0.3818
68,0.6908,0.2732
69,0.4767,0.656
70,0.4404,0.9652
71,0.7351,0.9765
72,-0.3182,-0.1406
73,-0.5719,-0.4939
74,0.3182,0.9705
75,0.0772,-0.7641
76,0.1027,0.9612
77,0.0,0.8832
78,0.7964,0.9916
79,-0.2617,0.9834
80,0.6901,0.9341
81,0.0,0.9814
82,0.0258,0.3182
83,0.5574,0.9613
84,0.0258,0.9826
85,-0.4767,-0.93
86,0.4215,0.9801
87,0.296,0.9866
88,0.0,0.9852
89,0.0,0.9501
90,0.296,0.9821
91,0.4939,0.4019
92,0.4404,0.9839
93,0.0,0.4946
94,-0.2732,0.8228
95,0.8519,0.9969
96,-0.34,0.6826
97,0.6705,0.8316
98,0.4019,0.9417
99,0.4019,0.9417
100,0.7479,0.9972
101,-0.128,-0.2153
102,0.5927,0.3221
103,0.0516,-0.5267
104,-0.2023,0.6956
105,0.4767,0.9884
106,-0.2263,0.1779
107,-0.5574,-0.5719
108,0.5106,0.9612
109,0.0772,0.9482
110,0.3612,0.4386
111,0.5267,0.9869
112,-0.0258,-0.9762
113,0.5719,0.9001
114,0.2732,-0.34
115,-0.2732,0.9684
116,-0.3612,0.8658
117,0.0,0.9932
118,0.0,-0.466
119,0.1027,0.9806
120,0.9178,-0.3612
121,0.0,0.8126
122,0.3818,-0.9922
123,0.8143,-0.986
124,0.0,0.9705
125,0.4019,0.892
126,0.1531,0.7495
127,0.0,0.9325
128,-0.2263,0.7553
129,0.4215,0.9794
130,0.7717,0.9985
131,-0.0516,0.8701
132,-0.2023,0.715
133,-0.4404,0.9934
134,0.4939,0.9456
135,0.5267,0.9173
136,0.25,-0.914
137,0.4215,0.969
