title_class,body_class
-0.2247,0.9609
0.0,0.0
-0.0018,0.9955
-0.7845,-0.9769
-0.34,0.9845
0.5574,0.9504
-0.4497,0.6524
0.5709,-0.6712
0.8641,0.9895
0.4019,0.9901
0.5994,0.9663
-0.5106,0.7099
-0.5574,-0.5574
0.0,0.9432
0.6369,0.9856
0.25,0.34
-0.8316,0.9777
-0.3182,-0.1531
0.7506,0.9939
0.765,0.9771
0.4939,0.9943
-0.2263,0.9839
-0.25,0.9884
0.0,0.9412
0.296,0.0
0.0,0.9931
0.9509,0.9983
0.3612,0.9933
0.8481,0.9756
0.5423,0.997
0.6705,0.5859
-0.128,0.9602
-0.8151,0.9727
0.128,0.9161
0.2263,0.8858
-0.7003,0.6887
0.7351,0.5267
-0.34,0.7003
0.3612,0.8779
0.2023,0.9981
0.0,0.9928
-0.4215,0.4215
-0.0644,-0.5584
-0.1513,0.9802
0.2732,0.9194
0.836,0.9738
0.7906,0.9628
0.5106,0.9898
0.4939,0.9943
-0.296,0.0
0.0,0.8167
0.5423,0.9918
-0.5423,-0.9701
0.4767,0.9914
0.1531,0.9839
0.8979,0.9831
0.6369,0.9792
-0.7003,0.8076
0.6705,0.0
-0.296,0.0516
-0.4333,0.966
-0.128,0.9602
-0.2732,-0.5994
0.3262,0.9801
0.4215,0.9867
-0.793,-0.9125
0.34,0.5719
0.7553,0.3818
0.6908,0.2732
0.4767,0.656
0.4404,0.9652
0.7351,0.9765
-0.3182,-0.1406
-0.5719,-0.4939
0.3182,0.9705
0.0772,-0.7641
0.1027,0.9612
0.0,0.8832
0.7964,0.9916
-0.2617,0.9834
0.6901,0.9341
0.0,0.9814
0.0258,0.3182
0.5574,0.9613
0.0258,0.9826
-0.4767,-0.93
0.4215,0.9801
0.296,0.9866
0.0,0.9852
0.0,0.9501
0.296,0.9821
0.4939,0.4019
0.4404,0.9839
0.0,0.4946
-0.2732,0.8228
0.8519,0.9969
-0.34,0.6826
0.6705,0.8316
0.4019,0.9417
0.4019,0.9417
0.7479,0.9972
-0.128,-0.2153
0.5927,0.3221
0.0516,-0.5267
-0.2023,0.6956
0.4767,0.9884
-0.2263,0.1779
-0.5574,-0.5719
0.5106,0.9612
0.0772,0.9482
0.3612,0.4386
0.5267,0.9869
-0.0258,-0.9762
0.5719,0.9001
0.2732,-0.34
-0.2732,0.9684
-0.3612,0.8658
0.0,0.9932
0.0,-0.466
0.1027,0.9806
0.9178,-0.3612
0.0,0.8126
0.3818,-0.9922
0.8143,-0.986
