title,body
Malaysia Files Criminal Charges Against Goldman Sachs Over 1MDB Scandal,"In the wake of a scandal that brought down the country’s former prime minister, the Malaysian government is seeking fines in excess of $2.7 billion."
How Much Could the 1MDB Scandal Cost Goldman Sachs?,A huge fraud at a Malaysian investment fund has weighed on Goldman’s stock. How are prosecutors approaching the case — and how can the firm defend itself?
Goldman’s Malaysian Scandal Revives the ‘Too Big to Jail’ Debate,"There are risks when filing criminal charges against banks, but how else to deter wrongdoing on Wall Street?"
1MDB Case in Malaysia Deepens Goldman’s Crisis,"The Malaysian government filed charges against Goldman Sachs for its role in the 1MDB fraud, and in the United States, the bank’s lawyers held talks with federal prosecutors."
"After Early Victories, N.J. Governor Is Undermined by Lawmakers From His Own Party","Swept into office as a progressive reformer, Gov. Philip D. Murphy’s first year has seen his rapid early victories slowed by battles with the Democratic-controlled legislature."
Deputy Mayor Who Oversaw Amazon Deal and Troubled Housing Authority Is Leaving,"Ms. Glen, a former Goldman Sachs executive, had been in charge of major initiatives to expand and preserve affordable housing in New York City."
Bank Stocks Were Bruised the Worst in the Sell-Off. Here’s Why.,Tuesday was one of the worst days for financial stocks since the February sell-off.
Ex-Goldman Sachs Banker Said Colleagues Were Involved in 1MDB Scandal,"In a newly unsealed court transcript, a former Goldman banker who pleaded guilty to money laundering called some of his actions “very much in line” with the firm’s culture."
Goldman Sachs Ensnarled in Vast 1MDB Fraud Scandal,"The filing of federal charges could increase pressure on Goldman, the primary bond underwriter for the development fund at the center of the so-called 1MDB scandal."
Goldman Chairman Met Privately With Fugitive Accused in Malaysian Fraud,"Jho Low, the financier charged with looting billions from a Malaysian fund, had an audience in 2012 with Lloyd C. Blankfein, the chairman and chief executive of Goldman Sachs."
The ‘Neo-Banks’ Are Finally Having Their Moment,High fees and low interest rates have provided an opening for a new generation of finance start-ups to compete with the big banks.
Too Rich to Jail,Did Donald Trump capitalize on Barack Obama’s failure to whack bankers?
Goldman Blames Rogue Staff for Its 1MDB Scandal. That May Not Wash.,Goldman Sachs seems unlikely to be able to slough off its role in the looting of a multibillion-dollar Malaysian government investment fund as the work of a few miscreants.
A Fugitive Financier’s Charm Offensive Has P.R. Firms Proceeding With Caution,Jho Low is accused of masterminding the disappearance of more than $2.7 billion in Malaysia. Firms representing him are being careful amid scrutiny of foreign influence efforts.
Trump Trade Adviser Warns That There Will Be No Quick Deal With China,"Peter Navarro, a populist who has long held unsparing views about China’s rise, suggested that reaching an agreement would be more difficult than President Trump’s recent comments would indicate."
Regulator Seeks Information About Goldman Sachs Ethics Complaint,The Securities and Exchange Commission is looking into the departure of a Goldman partner who had complained about misconduct.
From Barra to Murdoch to Thiel: Highlights From DealBook’s Conference,America’s most important business leaders provided insights on how to navigate the challenges ahead.
Goldman Sachs Needs to Sweat One Asset Much Harder: Its Staff,"David Solomon, the company’s new chief executive, needs to work out how to make his employees more productive."
DealBook Conference Live Updates: Google C.E.O.’s Mea Culpa,"America’s most important business leaders provide insights on how to navigate the challenges ahead, including when accusations of misconduct results in backlashes inside companies."
Making Sense of the Selling in the Stock Market,"A shakeout in the market seemed long overdue, so how seriously should we take the recent declines?"
Private Equity’s Broadband Rush Is Riskier Than It Looks,It might take longer to recoup investments in fiber infrastructure than investors like Goldman Sachs and KKR hope.
$30 Billion in Saudi Deals Even as Investors Denounce a ‘Horrendous’ Killing,"An investment conference in Riyadh proceeded, but the killing of the dissident journalist Jamal Khashoggi and Saudi Arabia’s role in it cast a shadow."
"Few Big Names Expected at Saudi Conference, and Data on U.S. Economy","Several tech companies report earnings, including Amazon and Alphabet. The European Central Bank will discuss monetary policy. "
DealBook Briefing: It May Be Business (Almost) as Usual With Saudi Arabia,"Despite many high-profile protests against the kingdom, many organizations are trying to find ways to preserve ties with the Saudis and their wealth."
Treasury Outlines Tax Breaks for Investing in Distressed Areas,A proposed regulation could unlock billions of dollars in investment for so-called opportunity zones.
Man Accused in $1.2 Million Wine Scheme Jumps From Carlyle Hotel,"Nicolas De-Meyer jumped from the 33rd floor of the Manhattan hotel on Tuesday, the police said. He was accused of stealing high-end wine from the C.E.O. of Goldman Sachs."
"First Day for Goldman’s New C.E.O., and Job Numbers Come Out ","September auto sales figures are expected to show continued strength, and European finance ministers are meeting. "
"Trade, Buybacks and Brexit: DealBook’s Closing Bell",A quick take on some of the important finance and business stories of the day.
"As Trump’s Trade War Mounts, China’s Wall Street Allies Lose Clout","Beijing long turned to big banks to help get its way in Washington, but the old back channels have proven ineffective when it comes to trade tensions."
Goldman’s Leadership Is Firmly With Its Bankers Now,The elevation of two bankers to top positions by Goldman’s chief-executive-in-waiting signals the ascendancy of the firm’s banking arm.
Goldman’s Incoming C.E.O. Names Two Former Bankers as Top Deputies,"David M. Solomon named two former investment bankers to senior roles, signaling that division’s future dominance inside Goldman."
